sighted,taken,trapped,sex_m,sex_f,lat,long,date,time
1,1,0,1,0,-17.95,145.29,2024-01-05,4:00:00 PM
1,1,0,1,0,-17.91,145.39,2024-05-03,6:00:00 PM
1,1,0,1,0,-18.02,145.53,2024-05-16,5:30:00 PM
1,0,0,1,0,-17.97,145.25,2024-05-17,5:00:00 PM
1,1,0,1,0,-17.88,145.42,2023-06-25,10:30:00 AM
0,1,1,0,1,-17.99,145.45,2023-07-28,7:00:00 AM
0,1,1,1,0,-17.95,145.27,2023-08-05,9:00:00 AM
0,3,3,1,2,-18.02,145.4,2024-08-15,8:00:00 AM
0,1,1,1,0,-17.98,145.44,2023-08-08,
0,1,1,1,0,-17.98,145.44,2023-08-12,8:00:00 AM
0,1,1,1,0,-17.92,145.44,2023-08-20,
0,10,10,3,7,-17.95,145.27,2024-10-01,8:00:00 AM
0,8,8,3,5,-17.96,145.4,2024-10-01,9:00:00 AM
0,1,1,0,1,-17.98,145.44,2023-08-25,
1,1,0,1,0,-18.03,145.49,2023-10-05,1:00:00 PM
1,1,0,1,0,-17.99,145.45,2024-06-04,3:00:00 PM
1,1,0,1,0,-17.94,145.41,2024-06-25,5:00:00 PM
1,1,0,1,0,-18.01,145.5,2024-07-05,2:00:00 PM
0,1,1,0,1,-17.92,145.35,2024-07-08,7:00:00 AM
0,1,1,1,0,-17.98,145.44,2024-08-08,8:00:00 AM
1,1,0,1,0,-17.94,145.44,2024-08-12,9:00:00 AM
0,1,1,1,0,-17.98,145.44,2024-08-16,8:00:00 AM
2,2,0,0,2,-17.98,145.26,2024-08-20,9:00:00 AM
1,1,0,1,0,-17.92,145.35,2024-09-05,8:00:00 AM
0,5,5,0,5,-17.96,145.4,2024-11-29,8:00:00 AM
1,1,0,1,0,-17.99,145.28,2024-10-04,4:00:00 PM
1,1,0,1,0,-17.92,145.34,2023-02-28,6:30:00 PM
1,0,0,1,0,-17.92,145.35,2023-03-01,6:00:00 PM
1,1,0,1,0,-17.99,145.44,2023-03-01,1:00:00 PM
4,3,0,0,3,-17.97,145.42,2023-03-01,3:00:00 PM
1,1,0,3,0,-17.95,145.41,2023-03-08,1:00:00 PM
4,3,0,0,3,-17.99,145.44,2023-03-08,4:00:00 PM
1,1,0,1,0,-82.65,134.05,2023-03-15,4:30:00 PM
1,1,0,1,0,-18.02,145.46,2023-03-16,9:00:00 AM
1,1,0,1,0,-18.03,145.47,2023-03-16,10:30:00 AM
1,1,0,1,0,-17.92,145.36,2023-03-16,7:30:00 PM
1,1,0,1,0,-82.71,135.66,2023-03-22,4:30:00 PM
1,1,0,1,0,-18.01,145.33,2023-03-23,11:30:00 AM
0,1,1,0,0,-17.95,145.27,2024-10-15,
6,6,0,1,5,-17.99,145.45,2023-04-23,4:00:00 PM
1,0,0,1,0,-18,145.49,2023-04-23,5:00:00 PM
6,3,0,0,1,-18,145.5,2023-04-23,5:30:00 PM
1,1,0,1,0,-17.95,145.27,2023-05-11,6:00:00 PM
1,1,0,1,0,-17.95,145.29,2023-05-11,6:30:00 PM
1,1,0,1,0,-18,145.45,2023-05-17,3:00:00 PM
1,1,0,1,0,-17.94,145.52,2023-05-29,4:00:00 PM
6,2,0,1,1,-17.93,145.38,2023-05-29,5:30:00 PM
6,1,0,1,0,-17.98,145.26,2023-06-07,5:00:00 PM
0,9,9,2,7,-17.95,145.26,2023-06-12,8:00:00 PM
1,1,0,2,b,-17.95,145.26,2023-06-12,1:00:00 PM
1,0,0,2,b,-17.92,145.35,2023-06-14,12:00:00 PM
1,1,0,2,b,-17.95,145.45,2023-06-14,4:00:00 PM
1,1,0,2,1,-17.95,145.46,2023-06-15,5:00:00 PM
1,1,0,1,0,-17.96,145.4,2024-11-10,4:30:00 PM
1,1,0,2,0,-17.95,145.49,2023-06-17,12:00:00 PM
1,1,0,2,0,-17.98,145.49,2023-06-17,12:30:00 PM
1,1,0,2,0,-18,145.37,2023-06-24,9:00:00 AM
6,1,0,2,0,-18.02,145.4,2023-06-24,3:30:00 PM
2,2,0,2,1,-18.01,145.44,2023-06-24,4:00:00 PM
9,9,0,2,7,-18.02,145.4,2024-11-13,9:40:00 AM
1,1,0,1,0,-18.02,145.4,2024-11-14,8:00:00 AM
8,1,0,0,1,-18.01,145.37,2023-06-26,1:00:00 PM
1,1,0,0,0,-17.99,145.45,2023-06-27,8:00:00 AM
8,2,0,0,0,-17.93,145.42,2023-06-27,10:00:00 AM
1,1,1,1,0,-17.95,145.26,2023-07-03,4:00:00 PM
1,1,1,0,1,-17.99,145.45,2023-07-03,4:00:00 PM
1,1,0,1,0,-17.94,145.3,2023-07-04,9:00:00 AM
6,6,0,1,5,-17.95,145.39,2023-07-13,1:00:00 PM
1,1,0,1,0,-17.96,145.29,2023-07-15,9:00:00 AM
0,0,8,7,1,-17.95,145.27,2023-07-17,7:30:00 AM
0,0,6,1,5,-17.95,145.31,2023-07-17,8:00:00 AM
2,0,0,0,0,-17.95,145.49,2023-07-26,9:00:00 AM
1,1,0,1,0,-17.95,145.5,2023-07-26,9:30:00 AM
1,1,0,1,0,-18.02,145.52,2023-07-27,2:00:00 PM
1,1,0,1,0,-17.96,145.4,2024-11-14,3:30:00 PM
1,1,0,1,0,-18.02,145.46,2024-11-15,11:00:00 AM
1,1,0,1,0,-18.02,145.47,2024-11-18,8:00:00 AM
2,2,0,2,0,-18.02,145.52,2023-08-10,5:00:00 PM
3,3,0,1,2,-18.02,145.47,2024-11-19,1:30:00 PM
1,1,0,1,0,-17.98,145.44,2023-08-13,5:00:00 PM
6,1,0,1,0,-17.9,145.33,2023-08-16,11:00:00 AM
1,1,0,1,0,-18,145.37,2024-11-24,
4,1,0,1,0,-17.97,145.42,2023-08-22,10:00:00 AM
1,1,0,1,0,-17.96,145.4,2024-11-25,3:00:00 PM
1,1,0,1,0,-18.02,145.54,2023-09-05,3:00:00 PM
1,1,0,1,0,-18.01,145.55,2023-09-05,3:30:00 PM
3,2,0,2,0,-18.03,145.49,2023-09-28,4:00:00 PM
1,1,0,1,0,-18.01,145.55,2023-09-28,3:30:00 PM
2,1,0,1,0,-18.03,145.49,2023-09-28,4:30:00 PM
3,1,0,1,0,-17.95,145.5,2023-09-29,5:30:00 PM
1,1,0,1,0,-17.99,145.45,2023-09-29,6:00:00 PM
0,2,2,1,1,-18.02,145.4,2023-10-03,7:00:00 AM
0,7,7,2,5,-18.02,145.4,2023-10-05,7:00:00 AM
7,7,0,4,3,17.96,145.4,2024-11-27,
1,1,0,0,1,-18,145.5,2023-10-09,4:00:00 PM
0,6,6,2,4,-17.89,145.33,2023-10-16,7:00:00 AM
0,6,6,3,3,-17.96,145.4,2023-10-16,8:00:00 AM
7,7,0,2,2,-17.99,145.45,2023-11-07,4:00:00 PM
0,1,1,1,0,-18.02,145.4,2024-11-29,9:00:00 AM
0,3,3,0,0,-17.95,145.27,2024-10-19,
0,4,4,1,0,-17.96,145.4,2024-10-16,
0,10,10,3,0,-18.02,145.4,2024-10-18,
0,11,11,3,0,-17.98,145.44,2024-10-16,
0,2,2,0,0,-17.98,145.44,2024-10-17,
6,1,0,0,0,-17.92,145.38,2024-10-14,4:20:00 PM
1,1,0,1,0,-17.98,145.44,2024-10-16,10:20:00 AM
2,1,0,0,0,-17.95,145.36,2024-10-19,9:00:00 AM
